"
Glossary of ESP32forth v7.0.5.4 -  up to v7.0.619",,,,"last updated
July 2022"
360,->port@,( a -- n ),get port from sockaddr,sockets
361,AF_INET,( -- 2 ),"constant, value 2",sockets
362,bind,( sock addr addrlen -- 0/err ),Bind a name to a socket,sockets
363,"bs,",( n -- ),,sockets
364,connect,( sock addr addrlen -- 0/err ),,sockets
365,errno,( -- n ),Retrieves the last error generated by a socket,sockets
366,gethostbyname,( hostnamez -- hostent/0 ),,sockets
367,ip.,( n -- ),Print address as x.y.z.w IP address.,sockets
,ip#,,,sockets
,"l,",( n -- ),,sockets
,listen,( sock connections -- 0/err ),Waits for a connection on a socket,sockets
,poll,( pollfds n timeout -- fd/err ),,sockets
,recv,( sock a n flags -- n/err ),,sockets
,recvfrom,( sock a n flags addr addrlen -- n/err ),,sockets
368,recvmsg,( sock msg flags -- n/err ),,sockets
,"s,",( n -- ),,sockets
,select,( numfds readfds writefds errfds timeout -- fd/err ),,sockets
,send,( sock a n flags -- n/err ),,sockets
,sendmsg,( sock msg flags -- n/err ),,sockets
,sendto,( sock a n flags addr addrlen -- n/err ),,sockets
,setsockopt,( sock level optname optval optlen -- 0/err ),"Sets the current value for a socket option associated with a socket of any type, in any state",sockets
,sizeof(sockaddr_in),( -- 16 ),"constant, value 16",sockets
,SO_REUSEADDR,( -- 2 ),"constant, value 2",sockets
,SOCK_DGRAM,,constant,sockets
,SOCK_RAW,,constant,sockets
,SOCK_STREAM,,"Define socket protocal type: SOCK_STREAM
constant, value 1",sockets
,sockaccept,( sock addr addrlen -- sock/err ),N.B this varies from bsd sockets,sockets
,sockaddr,"( ""name"" -- )","Create socket address structure e.g.
\ define socket address httpd-port 
sockaddr httpd-port
\ define socket address client
sockaddr client ",sockets
,socket,( family type protocol -- n4 ),"Initialise socket, family = protocol used, type = type of service, protocol = protocol of the desired service",sockets
,SOL_SOCKET,( -- 1 ),"constant, value 1",sockets
369,,,,
,,,,
370,Serial Peripheral Interface Flash File System,,,VOCABULARY
371,,,,
372,SPIFFS.begin,( format-on-fail path-z max-files -- f ),"Mounts file system. It must be called before any other SPIFFS words are used. Returns true if file system was mounted successfully, false otherwise. If format-on-fail is true the 'disk' will be formatted",SPI filesystem
373,SPIFFS.end,( -- ),Unmounts the flash memory file system,SPI filesystem
374,SPIFFS.format,( -- f ),Format the flash memory 'disk'. returns true if successful,SPI filesystem
375,SPIFFS.totalBytes,( -- n ),Returns the total capacity of the flash memory 'disk',SPI filesystem
376,SPIFFS.usedBytes,( -- n ),Returns the total space occupied by flash memory files,SPI filesystem
377,,,,
378,,,,
379,Stack functions,,,VOCABULARY
380,,,,
381,-rot,( x1 x2 x3 -- x2 x3 x1),rotate 3rd cell to top,forth
382,>R,( n – ),move n to the return stack,forth
383,2drop,( n1 n2 – ),discard the top of stack,forth
384,2dup,( n1 n2 – n1 n2 n1 n2),duplicate the top two items on the data stack,forth
385,depth,(  – n),"return the data stack depth on the top of stack e.g.
3 2 1 depth displays 3 2 1 3",forth
386,DROP,( n – ),discard the top of stack,forth
387,DUP,( n – n n ),duplicate the top of stack,forth
388,nip,( n1 n2 -- n2 ),remove the 2nd item on the data stack,forth
389,?DUP,( x -- 0 | x x ),Duplicate x if it is non-zero.,
390,OVER,( n1 n2 -- n1 n2 n1 ),duplicate 2nd item on the data stack,forth
391,R@,( -- n ),copy the top of the return stack to the top of data stack,forth
392,R>,( – n ),Move top of return stack to data stack,forth
393,rdrop,( -- ),drop the top of the return stack,forth
394,rot,( n1 n2 n3 – n2 n3 n1 ),rotate 3rd cell to top,forth
395,RP!,( addr -- ),set the return stack pointer,forth
396,RP@,( -- addr ),read the return stack pointer,forth
397,rp0,( -- addr ),constant - the initial value of the return stack pointer at switch-on,forth
398,SP!,( addr -- ),Set the data stack pointer,forth
399,SP@,( -- addr ),Read the data stack pointer,forth
400,sp0,( -- n ),constant - the initial value of the data stack pointer at switch-on,forth
401,SWAP,( n1 n2 – n2 n1 ),swap the top two data stack entries,forth
402,,,,
403,,,,
404,Streams,,,VOCABULARY
405,,,,
406,>offset,,,streams
407,>read,,,streams
408,>stream,,,streams
409,>write,,,streams
410,ch>stream,,,streams
411,empty?,,,streams
412,full?,,,streams
413,stream,"( n ""name"" -- )","define a stream, size n, using the next word in the input stream as the name e.g. 200 stream myinputstream 20000 stream myoutputstream",streams
414,stream#,,,streams
415,stream>,,,streams
416,stream>ch,,,streams
417,wait-read,,,streams
418,wait-write,,,streams
419,,,,
420,,,,
421,String functions,,,VOCABULARY
422,,,,
423,[char],( -- ),"compile the first letter of the following word in the definition e.g. : my-char [char] ALPHABET emit char emit ;
executing my-char fred will display:- Af",forth
424,$place,( addr cnt -- ),,forth
425,"r""","( ""string"" -- a n )",Creates a temporary counted string,forth
426,r|,( string| -- a n ),Creates a temporary counted string ending with | - see the example below that creates a stand alone program,forth
427,"s""",( -- addr cnt ),"creates a string until a terminating "". Leaves the string address addr and the character count cnt on the stack e.g. s"" Hello Bob""",forth
428,S>NUMBER?,( addr cnt -- n f=true | f=false ),"converts the counted ascii string stored at addr to number n with f=true, else just returns f=0, no n",forth
429,s>z,( a n -- z ),Convert a counted string string to null terminated string,forth
430,startswith?,( addr1 n1 addr2 n2 -- f ),"f=true if string at addr1 starts with string at addr2, else f=false",forth
431,str,( n -- addr cnt ),convert n to a counted string,forth
432,str=,( addr1 n1 addr2 n2 -- f ),"f=true if the two counted strings are equal, else f=false",forth
433,"z""","( ""string"" -- addr )",Creates a null terminated string on the heap at addr,forth
434,z>s,( addr -- addr n ),Convert a null terminated string at addr to a counted string,forth
435,,,,
436,,,,
437,System,,,VOCABULARY
438,,,,
439,#tib,( -- addr ),variable,forth
440,>in,( -- addr ),variable,forth
441,1,( -- -1 ),constant -1 left on the data stack,forth
442,bl,( -- 32 ),returns the value of the SPACE char,forth
443,bye,( -- ),"deferred word, defaults to esp32-bye",forth
444,CELL,( -- 4 ),returns the number of bytes per standard forth number - 32 bits,forth
445,current,( -- addr ),points to a vocabulary thread to which new definitions are to be added,forth
446,echo,( -- addr ),"All input stream is echoed on output stream if echo = -1, else  only partial echo ( --> ok and errors) if set 0",forth
447,evaluate,( addr cnt -- ),"evaluate the counted string at addr, as if typed in at the command line ",forth
448,EXECUTE,( xt -- ),Execute the word whose execution token is top of stack,forth
449,HIGH,( -- 1 ),"Logic high is represented by 1 e.g.
HIGH 1 pin",forth
450,hld,( -- adr ),holds a pointer in building a numeric output string,forth
451,INPUT,( -- 1 ),"constant used to set a pin as an input e.g.
2 INPUT pinMode",forth
452,LED,( -- 2 ),Some ESP32 modules have an LED fitted on GPIO pin 2,forth
453,LOW,( -- 0 ),"Logic low is represented by 0 e.g.
LOW 4 pin",forth
454,nl,( -- 10 ),the value of the NEWLINE character,forth
455,OUTPUT,( -- 2 ),"constant used to set a pin as an output e.g.
4 OUTPUT pinMode",forth
456,quit,( -- ),"Leave stack intact, but return control to input stream",forth
457,state,( -- addr ),"system variable, state=true system is interpreting, state=false system is compiling",forth
458,TERMINATE,( n -- ),Call system exit,forth
459,,,,
460,,,,
461,Tasks - multitasking,,,VOCABULARY
462,,,,
463,.tasks,( -- ),List running tasks,tasks
464,pause,( -- ),yield to other tasks,forth
465,start-task,( task -- ),Activate a task - see example below,forth
466,task,"( xt dsz rsz ""name"" -- )","Create a new task, named using the next word in the input stream, with 'dsz' size data stack, and 'rsz' size return stack, execution to start at 'xt' execution token",forth
467,main-task,,,tasks
468,task-list,,,tasks
469,,,,
470,,,,
471,Telnet,,,VOCABULARY
472,,,,
473,broker,( --),Deferred word - executes broker-connection by default,telnetd
474,broker-connection,( -- ),Processing loop for the active TELNET link,telnetd
475,client,,,telnetd
476,client-len,( -- adr ),variable,telnetd
477,clientfd,( -- flag ),"value, default to -1",telnetd
478,connection,,,telnetd
479,server,( port -- ),Start telnet  server daemon on port - see example below,telnetd
480,sockfd,( -- flag),"value, default to -1",telnetd
481,telnet-emit,( c -- ),Emit c character on the active telnet port,telnetd
482,telnet-emit',,,telnetd
483,telnet-key,( -- c ),Retrieve a character c from the active telnet port,telnetd
484,telnet-port,( a n -- ),,telnetd
485,telnet-type,(adr len -- ),Send a counted string on the active telnet port,telnetd
486,,,,
487,,,,
488,Time / Timers,,,VOCABULARY
489,,"n= group (0/1)
x = timer (0/1)
m = watchdog (0-5)","There are two groups of two timer channels

",
490,,,,
491,ms,( n1 --  ),"pause for ""n"" milliseconds.",forth
492,MS-TICKS,( -- n1 ),Time since start in milliseconds,forth
493,alarm,( t -- a ),,timers
494,alarm-enable!,( f t -- ),Alarm enable,timers
495,alarm-enable@,( t -- f ),Alarm enabled?,timers
496,autoreload!,( v t -- ),,timers
497,divider!,( n t -- ),Timer divider 2 - 65535,timers
498,edgeint!,( f t -- ),Edge trigger,timers
499,enable!,( v t -- ),Timer enable/disable,timers
500,increase!,( v t -- ),Timer increasing/decreasing,timers
501,int-enable!,( f t -- ),,timers
502,interval,( xt usec t -- ),Setup timer t to call execution token xt after usec - see example below,timers
503,levelint!,( v t -- ),Level trigger,timers
504,onalarm,( xt t -- ),Set callback,timers
505,rerun,( t -- ),Rerun timer t triggering,timers
506,t>nx,( t -- n x ),"x=1 if  bit0 of t=1, else x=0
n=1 if bit1 of t=1, else n=0",timers
507,timer!,( lo hi t -- ),,timers
508,timer@,( t -- lo hi ),,timers
509,TIMG_BASE,( -- $3ff5f000 ),constant,timers
510,TIMGn,,,timers
511,TIMGn_RTCCALICFG_REG,( n -- a ),,timers
512,TIMGn_RTCCALICFG1_REG,( n -- a ),,timers
513,TIMGn_Tx,( n x -- a ),,timers
514,TIMGn_Tx_INT_CLR_REG,( n -- a ),,timers
515,TIMGn_Tx_INT_ENA_REG,( n -- a ),,timers
516,TIMGn_Tx_INT_RAW_REG,( n -- a ),,timers
517,TIMGn_Tx_INT_ST_REG,( n -- a ),,timers
518,TIMGn_Tx_WDTCONFIGm_REG,( n m -- a ),,timers
519,TIMGn_Tx_WDTFEED_REG,( n -- a ),,timers
520,TIMGn_Tx_WDTWPROTECT_REG,( n -- a ),,timers
521,TIMGn_TxALARMLOHI_REG,( n x -- a ),,timers
522,TIMGn_TxCONFIG_REG,( n x -- a ),,timers
523,TIMGn_TxLOAD_REG,( n x -- a ),,timers
524,TIMGn_TxLOADLOHI_REG,( n x -- a ),,timers
525,TIMGn_TxLOHI_REG,( n x -- a ),,timers
526,TIMGn_TxUPDATE_REG,( n x -- a ),,timers
527,,,,
528,,,,
529,Two Wire Interface / I2C,,,VOCABULARY
530,,,,
531,Wire.available,( -- f ),Returns the number of bytes available for retrieval with Wire.read. This should be called on a master device after a call to Wire.requestFrom,Wire
532,Wire.begin,( -- f ),Initiate the Wire library and join the I2C bus as a master. This should normally be called only once.,Wire
533,Wire.beginTransmission,( n -- ),"Begin a transmission to the slave device at address n. Subsequently, queue bytes for transmission with the Wire.write function and transmit them by calling Wire.endTransmission",Wire
534,Wire.busy,( -- f ),,Wire
535,Wire.endTransmission,( sendstop -- f ),Ends a transmission to a slave device that was begun by Wire.beginTransmission and transmits the bytes that were queued by Wire.write Sends a stop message if sendstop=true,Wire
536,Wire.flush,( -- ),,Wire
537,Wire.getClock,( -- frequency ),Read the clock frequency set by Wire.setClock,Wire
538,Wire.getErrorText,( n -- z ),,Wire
539,Wire.getTimeout,( -- ms ),,Wire
540,Wire.lastError,( -- n ),,Wire
541,Wire.peek,( -- ch ),,Wire
542,Wire.read,( -- ch ),Reads a byte that was transmitted from a slave device to a master after a call to Wire.requestFrom or was transmitted from a master to a slave,Wire
543,Wire.readTransmission,( addr a n sendstop acount -- err ),,Wire
544,Wire.requestFrom,( address quantity sendstop -- n ),Used to request bytes from a slave device. The bytes may then be retrieved with the Wire.available and Wire.read functions. A stop message is sent after the reqyest if sendstop is true,Wire
545,Wire.setClock,( frequency -- ),"Modifies the clock frequency for I2C communication. I2C slave devices have no minimum working clock frequency, however 100KHz is usually the baseline",Wire
546,Wire.setTimeout,( ms -- ),Default is 50ms,Wire
547,Wire.write,( a n -- n ),"Writes data from a slave device in response to a request from a master, or queues bytes for transmission from a master to slave device (in-between calls to Wire.beginTransmission and Wire.endTransmission)",Wire
548,Wire.writeTransmission,( addr a n sendstop -- err ),,Wire
549,,,,
550,,,,
551,Vectored execution,,,VOCABULARY
552,,,,
553,defer,"( ""vectorname"" -- )",Define a deferred execution vector e.g. defer myemit,forth
554,is,( -- ),Set the vector of a deferred word e.g. ' emit is myemit - sets the deferred word myemit to execute emit when called,forth
555,,,,
556,,,,
557,Vocabulary,,,VOCABULARY
558,,,,
559,}transfer,,transfer the words enclosed in curly brackets to the current library e.g. { word1 word2 word3 ... }transfer,forth
560,also,( -- ),Duplicate the vocabulary at the top of the vocabulary stack,forth
561,context,( -- a ),an area to specify vocabulary search order - defaults to forth,forth
562,definitions,( -- ),Make the context vocabulary the current vocabulary,forth
563,forth,( -- ),Make the forth vocabulary the current vocabulary,forth
564,internals,,Make the internals vocabulary the current vocabulary,forth
565,interrupts,,Make the interrupts vocabulary the current vocabulary,forth
566,ledc,,Make the ledc vocabulary the current vocabulary,forth
567,registers,( -- ),set the current vocabulary to registers,forth
568,rtos,,Make the rtos vocabulary the current vocabulary,forth
569,SD_MMC,,Make the SD_MMC vocabulary the current vocabulary,forth
570,sealed,( -- ),Alter the last vocabulary defined so it doesn't chain,forth
571,Serial,,Make the Serial vocabulary the current vocabulary,forth
572,sockets,,Make the sockets vocabulary the current vocabulary,forth
573,SPIFFS,,Make the SPIFFS vocabulary the current vocabulary,forth
574,streams,( -- ),set the current vocabulary to streams,forth
575,tasks,,make tasks vocabulary the current one  ,forth
576,telnetd,,Make the telnetdvocabulary the current vocabulary,forth
577,timers,( --  ),Make the timers vocabulary the current vocabulary,forth
578,vocabulary,"( ""name"" -- )",Create a vocabulary with the current vocabulary as parent,forth
579,web-interface,,Make the web-interface vocabulary the current vocabulary,forth
580,WebServer,,Make the WebServer vocabulary the current vocabulary,forth
581,webui,( network-z password-z -- ),"login and start webui e.g.
z"" NETWORK-NAME"" z"" PASSWORD"" webui",forth
582,WiFi,,Make the WiFi vocabulary the current vocabulary,forth
583,Wire,( -- ),Make the Wire vocabulary the current vocabulary,forth
584,previous,( -- ),Drop the vocabulary at the top of the vocabulary stack,forth
,,,,
585, ,,,
586,OLED display,,,VOCABULARY
587,,,,
588,#define ENABLE_OLED_SUPPORT,,#define ENABLE_OLED_SUPPORT to activate the lib.,
589,#  include <Adafruit_GFX.h>,,install in your system the Adafruit libraries,
590,#  include <Adafruit_SSD1306.h>,,install in your system the Adafruit libraries,
591, ,,EXAMPLES   see notes below,
592, OledInit,(  --  ),initialize the display to accept commands,oled
593, OledDelete ,( n -- a ),,oled
594, OledBegin ,( n -- a ),initialization,oled
595, OledHOME ,( n -- a ),send cursor to upper left home position,oled
596, OledCLS ,( n -- a ),clears the display,oled
597, OledTextc ,( n -- a ),,oled
598, OledPrintln ,( n -- a ),print a zero= null terminated string from the stack ,oled
599, OledNumln ,( n -- a ),print + CR   a number on the stack (int),oled
600, OledNum ,( n --  ),print a number on the stack (int),oled
601, OledDisplay ,(  --  ),show the buffer on the OLED display,oled
602, OO = Oleddisplay,( n -- a ),is an abbreviation of Oleddisplay,oled
603, OledPrint ,"( z""  ""  addr --  )",print a zero= null terminated string from the stack ,oled
604, OledInvert ,(  --  ),invert the background & foreground colors,oled
605, OledTextsize ,( n --  ),,oled
606, OledSetCursor ,( n --  ),,oled
607, OledPixel ,( x y C --  ),"draw a pixel    x y coordinates  C= Color , f.e.use 1",oled
608, OledDrawL ,( x y x2 y2 1  --  ),"draw a line  x y x2 y2 coordinates  C= Color , f.e. 1",oled
609, OledCirc ,( x y r 1  --  ),draw a circle,oled
610, OledCircF ,( x y r 1  --  ),draw a circle filled,oled
611, OledRect ,( x y x2 y2 1  --  ),draw a rectangle,oled
612, OledRectF ,( x y x2 y2 1  --  ),draw a rectangle filled,oled
613, OledRectR ,( x y x2 y2 1  --  ),draw a rectangle rounded edges,oled
614, OledRectRF ,( n -- a ),draw a rectangle rounded edges filled,oled
615, OledAddr ,( n -- a ),address of I2C device,oled
616, OledNew ,( n -- a ),,oled
,,,,
617,,,,
618,Web Interface,,,VOCABULARY
619,,,,
620,do-serve,,,web-interface
621,handle-index,,,web-interface
622,handle-input,,,web-interface
623,handle1,,,web-interface
624,index-html,,,web-interface
625,input-stream,,,web-interface
626,out-size,,,web-interface
627,out-string,,,web-interface
628,output-stream,,,web-interface
629,serve-key,,,web-interface
630,serve-type,,,web-interface
631,webserver,,,web-interface
632,webserver-task,,,web-interface
633,,,,
634,,,,
635,Web Server,,"Removed in 7.0.6.14, use httpd instead.",VOCABULARY
636,,,,
637,WebServer.arg,( z ws -- z ),By name,WebServer
638,WebServer.argi,( n ws -- z ),By index,WebServer
639,WebServer.argName,( n ws -- z),By index,WebServer
640,WebServer.args,By index,Number of args,WebServer
641,WebServer.begin,( port ws -- ),,WebServer
642,WebServer.delete,( ws -- ),Delete webserver object,WebServer
643,WebServer.handleClient,( ws -- ),Handle one client request,WebServer
644,WebServer.hasArg,( z ws -- f ),By name,WebServer
645,WebServer.method,( ws -- n ),GET / POST etc.,WebServer
646,WebServer.new,( port -- ws ),Allocate new webserver object,WebServer
647,WebServer.on,( path-z xt ws -- ),Set up a web path handle callback,WebServer
648,WebServer.send,( code mimetype data ws -- ),,WebServer
649,WebServer.sendContent,( z ws -- ),,WebServer
650,WebServer.sendHeader,( name-z value-z fist ws -- ),,WebServer
651,WebServer.setContentLength,( n ws -- ),,WebServer
652,WebServer.stop,( ws -- ),,WebServer
653,,,,
654,,,,
655,WiFi,,,VOCABULARY
656,,,,
657,login,( network-z password-z -- ),"login to wifi only e.g. z"" NETWORK-NAME"" z"" PASSWORD""  login",forth
658,WIFI_MODE_AP,( -- 2 ),access point mode: stations can connect to the ESP32 e.g. WIFI_MODE_AP WiFi.mode,WiFi
659,WIFI_MODE_APSTA,( -- 3 ),access point and a station connected to another access point e.g. WIFI_MODE_APSTA WiFi.mode,WiFi
660,WIFI_MODE_NULL,( -- 0 ),,WiFi
661,WIFI_MODE_STA,( -- 1 ),station mode: the ESP32 connects to an access point e.g WIFI_MODE_STA WiFi.mode,WiFi
662,WiFi.begin,( ssid-z password-z -- ),"Initializes the WiFi library's network settings and provides the current status. e.g. z"" mySSID"" z"" myPASSWORD"" WiFi.begin -- see connection-disconnection demo below",WiFi
663,WiFi.config,( ip dns gateway subnet -- ),"Allows you to configure a static IP address as well as change the DNS, gateway, and subnet addresses on the WiFi shield. Packaged a.b.c.d little-endian",WiFi
664,WiFi.disconnect,( -- ),Disconnects the WiFi shield from the current network,WiFi
665,WiFi.getTxPower,( -- powerx4 ),Get power x4,WiFi
666,WiFi.localIP,( -- ip ),Get local IP,WiFi
667,WiFi.macAddress,( a -- ),Gets the MAC Address of your ESP32 WiFi port,WiFi
668,WiFi.mode,( mode -- ),Set WiFi mode - see notes below,WiFi
669,WiFi.setTxPower,( powerx4 -- ),Set power x4,WiFi
670,WiFi.status,( -- n ),Returns the connection status - see notes below,WiFi
671,,,,
672,,,,
673,Word definitions,,,VOCABULARY
674,,,,
675,",",( n -- ),store a value into the dictionary space,forth
676,;,(  -- ),"stop compiler, and finish word definition e.g. : gday ."" good day to you"" ;",forth
677,:,"( ""wordname"" --  )","start compiler mode, creates a word definition e.g. : hi ."" hello world"" ; ",forth
678,:noname,( – xt ),"Create a word with no name, leaving it's execution token on the stack. The xt would then usually be stored elsewhere from which the word can be executed - see example below",forth
679,',"( ""wordname"" -- xt )","xt = execution token of the word that follows in the input stream e.g. ' words puts 1073654684 on the stack. Errors if word not found, stopping execution",forth
680,[,( -- ),stop compiling the input stream and start executing - sets state=true,forth
681,['],( -- xt ),xt = execution of the word that follows inside a : definition e.g. : COMING   ['] HELLO   'aloha ! ;,forth
682,],( -- ),"Stop executing and start compiling the input stream, sets state=false",forth
683,{,( -- ),Mark the start of a local variable block - see example below,forth
684,align,,,forth
685,aligned,( addr1 -- addr2 ),"converts an address on the stack to the next higher cell boundary, to help accessing memory by cells",forth
686,allot,B286,"see ""allocate""   B286",forth
687,"c,",( c -- ),compile byte c at the next available location in the word definition,forth
688,constant,"( n ""name"" -- )","create a constant whose name follws in the input stream, value n.   e.g. 12 constant dozen",forth
689,CREATE,( -- ; -- pfa ),"create an empty dictionary entry <name>, returns the parameter field address when executed",forth
690,DOES>,( -- addr ),"Used with create in defining new defining words e.g.
: array ( n -- ; i -- addr ) \ new array type variable
create cells allot does> swap cells + ;
10 array baba \ create a 10 cell array named baba
0 baba puts the 1st element address on the stack
1 baba puts the 2nd element address on the stack
10 0 baba ! stores 10 in the 1st element.",forth
691,IMMEDIATE,,Marks the last defined word as immediate - it will execute immediately if called whilst compiling a word,forth
692,literal,( n -- ; -- n ),"add top of stack into the word being compiled at the next free memory location. When the word is run, place n top of stack",forth
693,postpone,"( ""text"" -- )",Skip leading space delimiters. Parse name delimited by a space. Find name. Append the compilation semantics of name to the current definition. Useful when an immediate word needs to be compiled in a word definition instead of immediately executing,forth
694,recurse,(  -- ),"Allows a word to call itself e.g.
: FACTORIAL DUP 2 < IF DROP 1 EXIT THEN DUP 1- RECURSE * ;
so 5 FACTORIAL leaves 120 on the stack",forth
695,SMUDGE,( -- ),stops the current word being defined being found during a dictionary lookup,forth
696,value,"( n ""valname"" -- ; -- n )","creates a value, named with the word that follows in the input stream, initialised n",forth
697,variable,"( ""varname"" -- ; -- addr  )",variable takes the next word in the input stream as the name and reserves space  for a variable,forth
698,,,,
699,,,,
700,Orphan words - yet to be allocated,,,VOCABULARY
701,,,,
702,MDNS.begin,( name-z -- ),Start multicast dns,forth
703,refill,,,forth
704,vTaskDelete,( task -- ),,rtos
705,xPortGetCoreID,( -- n ),,rtos
706,xTaskCreatePinnedToCore,( fn name stack-depth params priority taskout coreid -- ),,rtos
707,,,,
708,,,,
709,FLOATING POINT WORDS --(Requires v7.0.6.5+) ,,,VOCABULARY
711,Single precision floating-point support is available as a work in progress. ,,,
712,"While initially left out in the name of minimalism, hardware support for floating-point argues some advantages to limited support.",,,
713,Floating point is kept on a separate stack.,,,
714,NOTE: Tasks currently don't correctly support floating point. A single floating point stack is shared by all tasks.,,,
716,DOFLIT  ,( --- ),Puts a float from the next cell onto float stack.,
717,FP@ ,( -- a ),,
718,FP! ,( a -- ),,
719,SF@ ,( a -- r ),Single precision load,
720,SF!  ,( r a -- ),Single precision store,
721,FDUP ,( r -- r r ),,
722,FNIP ,( ra rb -- rb ),,
723,FDROP ,( r -- ),,
724,FOVER ,( ra rb -- ra rb ra ),,
725,FSWAP ,( ra rb -- rb ra ),,
726,F0< ,( r -- f ),,
727,F0= ,( r -- f ),,
728,F+ ,( r r -- r ),,
729,F- ,( r r -- r ),,
730,F* ,( r r -- r ),,
731,F/ ,( r r -- r ),,
732,1/F ,( r -- r ),,
733,S>F ,( n -- r ),,
734,F>S ,( r -- n ),,
735,,,,
736,HIGH LEVEL,,,
737,,,,
738,F= ,( r r -- f ),,
739,F< ,( r r -- f ),,
740,F> ,( r r -- f ),,
741,F<= ,( r r -- f ),,
742,F>= ,( r r -- f ),,
743,F<> ,( r r -- f ),,
744,,,,
745,SFLOAT ,( -- 4 ),,
746,SFLOATS ,( n -- n*4 ),,
747,SFLOAT+ ,( a -- a+4 ),,
748,"SF, ",( r -- ),,
749,,,,
750,AFLITERAL ,( r -- ),,
751,FLITERAL ,( r -- ),,
752,,,,
753,FCONSTANT ,"( r ""name"" )",,
754,FVARIABLE ,"( ""name"" )",,
755,,,,
756,PI ,( -- r ),,
757,,,,
758,FSQRT ,( r r -- r ),,
759,,,,
760,F.S ,( -- ),Print float stack.,
761,F.  ,( n-- ),"Display, with a trailing space, the top number on the floating-point stack using fixed-point notation:",
762,,,,
763,,,,
764,Serial Bluetooth WORDS --(Requires v7.0.6.5+) ,,,VOCABULARY
766,,,,
767,esp_bt_dev_get_address ,( -- a ),addr of 6 byte mac address,bluetooth
,,,,
768,Serial Bluetooth,,,
769,,,,
770,SerialBT.new    ,( -- bt ),Allocate new BT object,bluetooth
771,SerialBT.delete   ,( bt -- ),Free BT object,bluetooth
772,SerialBT.begin ,( localname ismaster bt -- f ),,bluetooth
773,SerialBT.end ,( bt -- ),,bluetooth
774,SerialBT.available ,( bt -- f ),,bluetooth
775,SerialBT.readBytes ,( a n bt -- n ),,bluetooth
776,SerialBT.write ,( a n bt -- n ),,bluetooth
777,SerialBT.flush ,( bt -- ),,bluetooth
778,SerialBT.hasClient ,( bt -- f ),,bluetooth
779,SerialBT.enableSSP ,( bt -- ),,bluetooth
780,SerialBT.setPin ,( z bt -- f ),,bluetooth
781,SerialBT.unpairDevice ,( addr bt -- f ),,bluetooth
782,SerialBT.connect ,( remotename bt -- f ),,bluetooth
783,SerialBT.connectAddr ,( addr bt -- f ),,bluetooth
784,SerialBT.disconnect ,( bt -- f ),,bluetooth
785,SerialBT.connected ,( timeout bt -- f ),,bluetooth
786,SerialBT.isReady    ,( checkMaster timeout -- f ),"Default checkMaster=false, timeout=0",bluetooth
787,,,,
788,Camera WORDS --(Requires v7.0.6.5+) ,,,VOCABULARY
790,,,,
791,esp_camera_init ,( config -- f ),,camera
792,esp_camera_deinit ,( -- f ),,camera
793,esp_camera_fb_get ,( -- fb ),,camera
794,esp_camera_fb_return ,( fb -- ),,camera
795,esp_camera_sensor_get ,( -- sensor ),,camera
796,,,,
797,Camera Server WORDS --(Requires v7.0.6.5+) ,,,VOCABULARY
799,WIP Prototype - Not yet stable,,,
800,These words are inside the camera-server vocabulary.,,,
801,server  ,( port -- ),"Start an image server at port,",
802,e.g. http://IP/image will produce an image,,,
803,,,,
804,RMT  WORDS --(Requires v7.0.6.5+) ,,,VOCABULARY
807,,,,
808,rmt_set_clk_div ,( channel div8 -- err ),,RMT
809,rmt_get_clk_div ,( channel @div8 -- err ),,RMT
810,rmt_set_rx_idle_thresh,( channel thresh16 -- err ),,RMT
811,rmt_get_rx_idle_thresh ,( channel @thresh16 -- err ),,RMT
812,rmt_set_mem_block_num ,( channel memnum8 -- err ),,RMT
813,rmt_get_mem_block_num ,( channel @memnum8 -- err ),,RMT
814,rmt_set_tx_carrier ,( channel enable highlev lowlev carrierlev -- err ),,RMT
815,rmt_set_mem_pd ,( channel f -- err ),,RMT
816,rmt_get_mem_pd ,( channel @f -- err ),,RMT
817,rmt_tx_start ,( channel f -- err ),,RMT
818,rmt_tx_stop ,( channel -- err ),,RMT
819,rmt_rx_start ,( channel f -- err ),,RMT
820,rmt_rx_stop ,( channel -- err ),,RMT
821,rmt_tx_memory_reset ,( channel -- err ),,RMT
822,rmt_rx_memory_reset ,( channel -- err ),,RMT
823,rmt_set_memory_owner ,( channel owner -- err ),,RMT
824,rmt_get_memory_owner ,( channel @owner -- err ),,RMT
825,rmt_set_tx_loop_mode ,( channel f -- err ),,RMT
826,rmt_get_tx_loop_mode ,( channel @f -- err ),,RMT
827,rmt_set_rx_filter ,( channel enable thresh8 -- err ),,RMT
828,rmt_set_source_clk ,( channel baseclk -- err ),,RMT
829,rmt_get_source_clk ,( channel @baseclk -- err ),,RMT
830,rmt_set_idle_level ,( channel enable level -- err ),,RMT
831,rmt_get_idle_level ,( channel @enable @level -- err ),,RMT
832,rmt_get_status ,( channel @status -- err ),,RMT
833,rmt_set_rx_intr_en ,( channel enable -- err ),,RMT
834,rmt_set_err_intr_en ,( channel enable -- err ),,RMT
835,rmt_set_tx_intr_en ,( channel enable -- err ),,RMT
836,rmt_set_tx_thr_intr_en ,(channel enable thresh -- err ),,RMT
837,rmt_set_gpio ,( channel mode gpio# invertsig -- err ),,RMT
838,rmt_config ,( rmt_config_t* ),,RMT
